s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K
Time,"GHF","THF","CHF","IHF","HTC"
   0.00,  -0.00,  -0.00,   0.00,   0.42,   0.00
  10.00,  36.11,  28.35,  10.70,  23.72,  17.34
  20.00,  39.49,  27.98,   9.99,  25.99,  19.33
  30.00,  39.09,  25.49,   9.48,  25.10,  19.61
  40.00,  42.01,  24.51,   9.29,  26.91,  19.66
  50.00,  40.99,  22.82,   8.66,  26.27,  19.69
  60.00,  44.08,  23.81,   9.14,  28.34,  19.88
  70.00,  41.83,  19.68,   7.80,  26.77,  20.05
  80.00,  43.32,  18.71,   7.80,  27.61,  20.30
  90.00,  44.26,  17.56,   7.62,  28.29,  20.24
 100.00,  41.12,  15.56,   7.03,  25.90,  20.23
 110.00,  42.26,  15.89,   7.19,  26.73,  20.21
 120.00,  41.42,  15.00,   6.50,  26.49,  20.43
 130.00,  40.79,  14.46,   6.48,  25.81,  20.64
 140.00,  41.00,  14.77,   6.66,  25.86,  20.62
 150.00,  42.67,  15.43,   7.23,  26.94,  20.16
 160.00,  43.94,  15.39,   7.20,  27.98,  20.23
 170.00,  40.06,  13.28,   6.36,  25.07,  20.59
 180.00,  40.64,  12.63,   5.94,  25.81,  20.66
 190.00,  41.27,  12.64,   6.16,  26.11,  20.66
 200.00,  44.31,  13.06,   6.96,  27.95,  20.49
 210.00,  41.52,  11.26,   5.99,  26.19,  20.66
 220.00,  39.80,   9.82,   5.22,  25.15,  20.94
 230.00,  46.57,  13.24,   7.17,  29.73,  20.31
 240.00,  41.21,   8.73,   5.45,  25.90,  20.83
 250.00,  42.13,  10.36,   5.66,  26.80,  20.82
 260.00,  40.01,   8.44,   4.89,  25.35,  21.03
 270.00,  42.66,  10.46,   6.04,  26.91,  20.69
 280.00,  44.60,  10.54,   6.69,  27.94,  20.56
 290.00,  45.98,  10.82,   6.93,  28.98,  20.43
 300.00,  42.46,   8.31,   5.56,  26.80,  20.75
 310.00,  42.06,   8.85,   5.64,  26.45,  20.82
 320.00,  47.93,  11.81,   7.47,  30.27,  20.41
 330.00,  40.41,   7.34,   5.26,  25.29,  20.50
 340.00,  44.33,  10.01,   6.35,  27.84,  20.91
 350.00,  45.39,   9.70,   6.55,  28.56,  20.68
 360.00,  43.79,   9.06,   6.13,  27.47,  20.76
 370.00,  43.71,   9.06,   5.99,  27.68,  20.47
 380.00,  43.84,   8.87,   5.98,  27.66,  20.70
 390.00,  47.34,  10.57,   7.09,  29.94,  20.40
 400.00,  45.95,   9.36,   6.61,  29.01,  20.46
 410.00,  42.12,   7.89,   5.72,  26.30,  20.67
 420.00,  42.26,   7.95,   5.78,  26.32,  20.78
 430.00,  45.41,  10.05,   6.70,  28.46,  20.72
 440.00,  46.29,   9.82,   6.51,  29.38,  20.69
 450.00,  47.72,   9.76,   7.12,  30.08,  20.44
 460.00,  46.48,   9.67,   6.68,  29.42,  20.52
 470.00,  44.96,   8.10,   6.20,  28.32,  20.54
 480.00,  44.22,   8.06,   5.81,  28.04,  20.65
 490.00,  48.93,  10.64,   7.29,  31.09,  20.49
